"","credit.policy","purpose","int.rate","installment","log.annual.inc","dti","fico","days.with.cr.line","revol.bal","revol.util","inq.last.6mths","delinq.2yrs","pub.rec","not.fully.paid","has.delinq.2yrs","has.pub.rec","log.revol.bal","has.revol.bal"
"23",TRUE,"credit_card",0.1355,339.6,11.51292546,7.94,662,1939.958333,21162,57.7,0,0,0,FALSE,FALSE,FALSE,9.96000965286045,TRUE
"24",TRUE,"credit_card",0.0788,484.85,11.73606902,7.05,782,5640.041667,16931,34.6,1,0,0,FALSE,FALSE,FALSE,9.73696060164081,TRUE
"25",TRUE,"debt_consolidation",0.1229,320.19,11.26446411,8.8,672,3760.958333,4822,58.1,0,0,1,FALSE,FALSE,TRUE,8.48115142006897,TRUE
"26",TRUE,"all_other",0.0901,159.03,12.4292162,10,712,1553.958333,14354,36.6,0,2,0,FALSE,TRUE,FALSE,9.57185359255516,TRUE
"27",TRUE,"all_other",0.0743,155.38,11.08214255,0.28,802,4649.958333,1576,5.7,1,0,0,FALSE,FALSE,FALSE,7.36327958696304,TRUE
"28",TRUE,"debt_consolidation",0.1375,255.43,9.998797732,14.29,662,1318.958333,4175,51.5,0,1,0,FALSE,TRUE,FALSE,8.33710912956247,TRUE
"29",TRUE,"all_other",0.0743,155.38,12.20607265,0.28,772,4516.958333,3164,13.7,0,0,0,FALSE,FALSE,FALSE,8.05990833457828,TRUE
"30",TRUE,"all_other",0.0743,155.38,12.20607265,3.72,812,6778.958333,85607,0.7,0,0,0,FALSE,FALSE,FALSE,11.3575340157068,TRUE
"31",TRUE,"debt_consolidation",0.0807,156.84,11.51292546,2.3,742,3148.958333,9698,19.4,0,0,0,FALSE,FALSE,FALSE,9.17977806639354,TRUE
"32",TRUE,"credit_card",0.1028,275.38,9.798127037,6.4,692,7469.958333,8847,26.9,1,1,0,FALSE,TRUE,FALSE,9.08794672376212,TRUE
"33",TRUE,"home_improvement",0.0743,155.38,11.91839057,0,777,7128.958333,6053,19.5,0,0,0,FALSE,FALSE,FALSE,8.70847448958166,TRUE
"34",TRUE,"home_improvement",0.0807,78.42,11.60823564,11.33,762,6059.958333,7274,13.1,0,0,0,FALSE,FALSE,FALSE,8.89219909203969,TRUE
"35",TRUE,"credit_card",0.087,158.3,11.22524339,15.55,757,4770,66033,23,0,0,0,FALSE,FALSE,FALSE,11.0979250398787,TRUE
"36",TRUE,"all_other",0.0743,155.38,11.46163217,3.83,772,2535,3660,6.8,0,0,0,FALSE,FALSE,FALSE,8.20549161312024,TRUE
"37",TRUE,"credit_card",0.0743,155.38,11.35040654,0.31,787,3540,216,0.6,0,0,0,FALSE,FALSE,FALSE,5.37989735354046,TRUE
"38",TRUE,"credit_card",0.1122,164.23,11.28978191,1.21,672,3990,27185,16.1,3,0,1,FALSE,FALSE,TRUE,10.2104574138952,TRUE
"39",TRUE,"debt_consolidation",0.0996,161.25,10.77895629,8.03,707,4320,28329,48.6,1,0,0,FALSE,FALSE,FALSE,10.2516765928246,TRUE
"40",TRUE,"home_improvement",0.0933,159.77,12.10071213,11.93,717,4498.958333,60568,39.2,1,0,0,FALSE,FALSE,FALSE,11.0115384900154,TRUE
"41",TRUE,"home_improvement",0.0807,156.84,12.10071213,5.55,742,4019,40934,26.3,0,0,0,FALSE,FALSE,FALSE,10.6197407218105,TRUE
"42",TRUE,"debt_consolidation",0.0743,155.38,11.69524702,2.29,777,3540,8379,16.9,0,0,0,FALSE,FALSE,FALSE,9.03360319347613,TRUE
"43",TRUE,"small_business",0.087,94.98,10.1266311,14.54,752,2460,3660,7.8,1,0,0,FALSE,FALSE,FALSE,8.20549161312024,TRUE
"44",TRUE,"home_improvement",0.1028,97.2,12.20607265,0,677,3779.958333,0,0,0,1,0,FALSE,TRUE,FALSE,0,FALSE
"45",TRUE,"credit_card",0.1122,164.23,10.30895266,18.64,702,5190,15840,47.1,0,0,0,FALSE,FALSE,FALSE,9.67035679468885,TRUE
"46",TRUE,"credit_card",0.0838,167.02,11.21182037,14.37,797,5610.958333,6844,14.4,0,0,0,FALSE,FALSE,FALSE,8.83127373772255,TRUE
"47",TRUE,"educational",0.0775,168.6,8.987196821,3,762,6659.958333,1321,16.5,0,0,0,FALSE,FALSE,FALSE,7.18690102041163,TRUE
"48",TRUE,"all_other",0.0838,160.72,10.37349118,14.78,772,4379,4737,23.9,0,0,0,FALSE,FALSE,FALSE,8.46337038471873,TRUE
"49",TRUE,"credit_card",0.0901,159.03,11.19821472,9.96,722,3089.958333,23489,37.6,0,0,0,FALSE,FALSE,FALSE,10.064330077653,TRUE
"50",TRUE,"debt_consolidation",0.0743,178.69,11.73606902,0.27,792,7488.958333,2817,10.2,0,0,0,FALSE,FALSE,FALSE,7.94378269245863,TRUE
"51",TRUE,"credit_card",0.0743,155.38,10.71441777,1.12,782,5807,1783,0,1,0,0,FALSE,FALSE,FALSE,7.48661331313996,TRUE
"52",TRUE,"small_business",0.1028,323.98,10.217422,10.7,712,1379,3534,54.4,0,0,0,FALSE,FALSE,FALSE,8.17046857833067,TRUE
"53",TRUE,"small_business",0.1059,813.65,10.77895629,4.05,762,2729.958333,2422,23.3,0,0,0,FALSE,FALSE,FALSE,7.79276172081653,TRUE
"54",TRUE,"educational",0.0996,112.87,9.510444964,16.44,712,1649.958333,2864,41.1,1,0,0,FALSE,FALSE,FALSE,7.96032362914884,TRUE
"55",TRUE,"debt_consolidation",0.1596,94.88,10.86283777,12.57,627,1409,3075,92.3,1,0,0,FALSE,FALSE,FALSE,8.03138533062553,TRUE
"56",TRUE,"small_business",0.1059,398.69,11.00209984,17.12,747,14008.95833,17214,8.1,2,1,0,FALSE,TRUE,FALSE,9.75353637577262,TRUE
"57",TRUE,"credit_card",0.1154,39.6,9.903487553,2.04,662,1139,1153,75.8,2,0,0,FALSE,FALSE,FALSE,7.05098944706805,TRUE
"58",TRUE,"credit_card",0.1343,678.08,11.88448902,10.15,682,4209.958333,41674,74.1,0,0,0,TRUE,FALSE,FALSE,10.637656707619,TRUE
"59",TRUE,"credit_card",0.1249,401.37,11.22524339,15,682,4479,43039,93.4,3,0,0,FALSE,FALSE,FALSE,10.6698851948357,TRUE
"60",TRUE,"all_other",0.0964,205.45,11.00209984,7.72,712,2293.958333,3362,69.3,0,0,0,FALSE,FALSE,FALSE,8.12058871174027,TRUE
"61",TRUE,"debt_consolidation",0.1186,397.75,11.08214255,7.14,682,8730,11868,71.9,0,2,0,FALSE,TRUE,FALSE,9.3816852380565,TRUE
"62",TRUE,"all_other",0.0743,155.38,10.59663473,2.55,772,8189.958333,2562,14,2,0,0,FALSE,FALSE,FALSE,7.84893372636407,TRUE
"63",TRUE,"all_other",0.1028,113.39,9.903487553,1.5,682,1410,1882,32.4,0,0,0,FALSE,FALSE,FALSE,7.54062152865715,TRUE
"64",TRUE,"debt_consolidation",0.1186,99.44,10.49551521,7.47,667,2550,1064,70.9,2,0,1,FALSE,FALSE,TRUE,6.97073007814353,TRUE
"65",TRUE,"credit_card",0.0807,109.79,11.49272276,8.52,752,4979.958333,6432,6,0,1,0,FALSE,TRUE,FALSE,8.769196271411,TRUE
"66",TRUE,"all_other",0.1059,32.55,10.43382164,14.47,687,1110,4485,36.9,1,0,0,TRUE,FALSE,FALSE,8.40871671508015,TRUE
"67",TRUE,"all_other",0.0996,112.87,11.26446411,11.06,702,4979.958333,16310,20.5,0,1,0,FALSE,TRUE,FALSE,9.69959500581403,TRUE
"68",TRUE,"debt_consolidation",0.0964,160.51,11.77528973,8.55,712,5940,20969,40.2,0,0,0,FALSE,FALSE,FALSE,9.95084812389597,TRUE
"69",TRUE,"debt_consolidation",0.1375,340.57,10.46310334,17.38,707,2699.958333,22213,65.9,0,0,0,FALSE,FALSE,FALSE,10.0084779997271,TRUE
"70",TRUE,"home_improvement",0.0775,156.11,12.32385568,6.48,752,5339.958333,2160,2.3,1,0,0,FALSE,FALSE,FALSE,7.67832635650689,TRUE
"71",TRUE,"credit_card",0.0743,155.38,11.15625052,4.56,812,9809,813,1,0,0,0,FALSE,FALSE,FALSE,6.70196036600254,TRUE
"72",TRUE,"home_improvement",0.0807,235.25,11.91839057,2.72,757,5202,23678,24.4,4,0,0,FALSE,FALSE,FALSE,10.0723438583765,TRUE
"73",TRUE,"debt_consolidation",0.0996,257.99,10.77895629,15.13,722,2640,11289,47.8,3,0,0,FALSE,FALSE,FALSE,9.33167265714371,TRUE
"74",TRUE,"small_business",0.1501,225.37,12.26904744,6.45,677,6240,56411,75.3,0,0,0,TRUE,FALSE,FALSE,10.9404371808121,TRUE
"75",TRUE,"home_improvement",0.0964,80.26,11.22524339,20,772,4920.958333,269,3.8,3,0,0,TRUE,FALSE,FALSE,5.59842195899838,TRUE
"76",TRUE,"home_improvement",0.128,84,10.37349118,20,682,5492,3408,35.1,1,0,0,TRUE,FALSE,FALSE,8.1341742721379,TRUE
"77",TRUE,"debt_consolidation",0.1122,507.46,10.59663473,13.5,712,5368.958333,6513,34.3,3,0,1,TRUE,FALSE,TRUE,8.78170898583618,TRUE
"78",TRUE,"educational",0.0743,124.31,10.59663473,3.45,772,1739.958333,330,11,0,0,0,FALSE,FALSE,FALSE,5.80211837537706,TRUE
"79",TRUE,"credit_card",0.087,63.32,11.15625052,6.07,712,2550,5967,19.8,1,0,0,FALSE,FALSE,FALSE,8.6941671418836,TRUE
"80",TRUE,"all_other",0.1091,130.79,9.798127037,18,707,2192,5533,79.6,1,0,0,FALSE,FALSE,FALSE,8.61866616034687,TRUE
"81",TRUE,"home_improvement",0.0775,93.67,11.73606902,2.14,762,8370,21050,1,0,0,0,FALSE,FALSE,FALSE,9.9547033439204,TRUE
"82",TRUE,"all_other",0.0775,93.67,10.81977828,5.35,762,8370,21050,0.7,0,0,0,FALSE,FALSE,FALSE,9.9547033439204,TRUE
"83",TRUE,"all_other",0.087,88.65,11.69524702,15,742,3026,8155,14.9,1,0,0,FALSE,FALSE,FALSE,9.00650913169435,TRUE
"84",TRUE,"all_other",0.0964,128.41,11.51292546,15,722,3026,8155,14.9,1,0,0,FALSE,FALSE,FALSE,9.00650913169435,TRUE
"85",TRUE,"home_improvement",0.087,94.98,11.03488966,12.23,737,2729.958333,3678,30.7,0,0,0,FALSE,FALSE,FALSE,8.21039625510477,TRUE
"86",TRUE,"debt_consolidation",0.1217,179.8,10.46310334,7.1,662,2944,2040,36.2,2,0,0,FALSE,FALSE,FALSE,7.62119516280984,TRUE
"87",TRUE,"credit_card",0.1533,444.05,11.00209984,19.52,667,2700.958333,33074,68.8,2,0,0,FALSE,FALSE,FALSE,10.4065329889832,TRUE
"88",TRUE,"all_other",0.0775,124.89,11.03165864,3.46,747,2519,1918,17.1,0,0,0,FALSE,FALSE,FALSE,7.5595594960077,TRUE
"89",TRUE,"credit_card",0.1533,644.3,11.40756495,5.24,662,1770,22379,62.2,0,0,0,FALSE,FALSE,FALSE,10.0159229818659,TRUE
"90",TRUE,"small_business",0.0964,642.02,11.47210347,2.86,737,2190,10296,42.5,0,0,0,TRUE,FALSE,FALSE,9.23960786965675,TRUE
"91",TRUE,"small_business",0.1154,104.76,9.61580548,12.24,672,1289.958333,2867,55.1,3,0,0,TRUE,FALSE,FALSE,7.96137020171951,TRUE
"92",TRUE,"debt_consolidation",0.1122,157.66,10.30895266,12.36,682,1770,12310,86.1,0,0,0,FALSE,FALSE,FALSE,9.41824845064762,TRUE
"93",TRUE,"debt_consolidation",0.087,383.87,11.91839057,4.8,767,13349.95833,61921,39.1,0,0,0,FALSE,FALSE,FALSE,11.0336308074836,TRUE
"94",TRUE,"credit_card",0.1122,217.6,11.38509209,18,702,3725,16738,26.1,2,0,0,FALSE,FALSE,FALSE,9.72549660510262,TRUE
"95",TRUE,"all_other",0.0807,297.99,11.05089001,3.49,792,5939,40384,9.2,1,0,0,FALSE,FALSE,FALSE,10.6062137078764,TRUE
"96",TRUE,"debt_consolidation",0.0775,156.11,10.71441777,5,762,2131,1359,5.6,2,0,0,FALSE,FALSE,FALSE,7.2152399787301,TRUE
"97",TRUE,"debt_consolidation",0.1154,329.95,12.32385568,20,727,10292,107501,44.8,2,0,0,FALSE,FALSE,FALSE,11.585264731028,TRUE
"98",TRUE,"all_other",0.0807,313.67,12.06104687,0.72,787,8010,3054,5.6,3,0,0,FALSE,FALSE,FALSE,8.0245348716057,TRUE
"99",TRUE,"all_other",0.0807,297.99,11.40756495,2.44,792,8717.958333,40384,9.6,0,0,0,FALSE,FALSE,FALSE,10.6062137078764,TRUE
"100",TRUE,"home_improvement",0.0933,239.65,11.44035477,9.66,792,4529,128000,0,3,0,0,FALSE,FALSE,FALSE,11.7597933553712,TRUE
"101",TRUE,"debt_consolidation",0.0712,61.87,11.6784399,0.43,772,5936,4709,18.5,0,0,0,FALSE,FALSE,FALSE,8.45744318701046,TRUE
"102",TRUE,"all_other",0.1186,94.47,10.71441777,2.8,667,5460,2850,75,0,1,0,FALSE,TRUE,FALSE,7.95542508891267,TRUE
"103",TRUE,"small_business",0.1501,73.68,11.47210347,16.89,702,4080,51,0,0,0,0,TRUE,FALSE,FALSE,3.95124371858143,TRUE
"104",TRUE,"home_improvement",0.0807,313.67,11.91839057,5.84,792,5364.958333,37152,3.7,0,0,0,FALSE,FALSE,FALSE,10.5227998005867,TRUE
"105",TRUE,"debt_consolidation",0.0933,543.2,11.22524339,9.55,762,5699.958333,3839,16.6,1,0,0,FALSE,FALSE,FALSE,8.25322764558177,TRUE
"106",TRUE,"home_improvement",0.0807,313.67,11.35040654,3.11,797,5363.958333,37152,3.7,0,0,0,FALSE,FALSE,FALSE,10.5227998005867,TRUE
"107",TRUE,"credit_card",0.1217,266.37,11.15625052,10.2,672,3598.958333,26283,39.5,0,1,0,TRUE,TRUE,FALSE,10.1767156680178,TRUE
"108",TRUE,"debt_consolidation",0.1028,210.6,10.71441777,5.87,692,1741.958333,5607,42.2,0,0,0,FALSE,FALSE,FALSE,8.63194942871443,TRUE
"109",TRUE,"all_other",0.1249,234.15,10.04324949,5.01,662,1110,1061,81.9,3,0,0,FALSE,FALSE,FALSE,6.96790920180188,TRUE
"110",TRUE,"debt_consolidation",0.1028,323.99,11.69524702,14.4,722,4679.958333,56740,77.5,1,0,0,FALSE,FALSE,FALSE,10.9462523324585,TRUE
"111",TRUE,"credit_card",0.1059,235.96,10.95080655,7.22,712,5519,40598,77.3,1,0,0,FALSE,FALSE,FALSE,10.6114987147446,TRUE
"112",TRUE,"debt_consolidation",0.1438,352.22,11.1844214,17.83,687,1289.958333,3815,6.5,1,0,0,FALSE,FALSE,FALSE,8.24695803256818,TRUE
"113",TRUE,"all_other",0.0743,117.31,11.69524702,0,772,3929.958333,0,0,1,0,0,FALSE,FALSE,FALSE,0,FALSE
"114",TRUE,"debt_consolidation",0.0712,64.96,11.60823564,0.22,812,16213,50,0.3,0,0,0,FALSE,FALSE,FALSE,3.93182563272433,TRUE
"115",TRUE,"small_business",0.1565,699.69,11.42954386,1.53,667,3603.958333,4569,56.4,1,0,0,FALSE,FALSE,FALSE,8.42726848388825,TRUE
"116",TRUE,"educational",0.1059,195.27,9.852194258,8.15,692,3089.958333,8528,86.1,0,0,0,FALSE,FALSE,FALSE,9.05122740031911,TRUE
"117",TRUE,"credit_card",0.1122,295.59,10.3859137,22.15,747,2788.958333,14345,45.8,0,0,0,FALSE,FALSE,FALSE,9.57122643668638,TRUE
"118",TRUE,"small_business",0.1122,217.59,10.81977828,18.38,707,3359,113,2.4,1,0,0,FALSE,FALSE,FALSE,4.7361984483945,TRUE
"119",TRUE,"debt_consolidation",0.1375,263.09,11.03811028,9.8,677,3089.958333,12231,81,3,0,0,TRUE,FALSE,FALSE,9.4118107476089,TRUE
"120",TRUE,"debt_consolidation",0.1467,248.43,10.95080655,20.76,667,3750,13552,69.1,0,1,0,FALSE,TRUE,FALSE,9.51436320401602,TRUE
"121",TRUE,"credit_card",0.1028,194.4,11.37710574,10.6,692,2489.958333,16813,63.9,0,0,0,FALSE,FALSE,FALSE,9.72996715169524,TRUE
"122",TRUE,"debt_consolidation",0.1249,301.04,10.57131693,5.08,667,3690,26233,62.9,3,0,1,TRUE,FALSE,TRUE,10.1748115583751,TRUE
"123",TRUE,"all_other",0.0743,163.92,11.35040654,2.64,782,9210,5760,16,0,0,0,FALSE,FALSE,FALSE,8.65886634973238,TRUE
"124",TRUE,"all_other",0.1028,150.66,10.727663,3.26,687,6509.958333,105,35,1,1,0,TRUE,TRUE,FALSE,4.66343909411207,TRUE
"125",TRUE,"debt_consolidation",0.1122,217.59,10.9525594,13.77,682,2160,11490,95.7,0,0,0,FALSE,FALSE,FALSE,9.34931939925763,TRUE
"126",TRUE,"home_improvement",0.1312,85.23,10.59663473,20.67,692,5250,17641,30.5,3,1,0,FALSE,TRUE,FALSE,9.77803770181871,TRUE
"127",TRUE,"all_other",0.1122,328.43,10.30895266,20.4,742,3270,0,0,3,0,0,FALSE,FALSE,FALSE,0,FALSE
"128",TRUE,"all_other",0.0807,165.47,10.91508846,12,797,8790,12430,19.2,1,0,0,FALSE,FALSE,FALSE,9.42794863179171,TRUE
"129",TRUE,"debt_consolidation",0.1091,140.6,10.49127422,9.87,707,1560,12323,44,0,0,0,FALSE,FALSE,FALSE,9.41930385971656,TRUE
"130",TRUE,"all_other",0.1028,98.01,11.40756495,9.13,697,3300,38624,97.8,0,0,0,FALSE,FALSE,FALSE,10.5616550142,TRUE
"131",TRUE,"small_business",0.1217,166.48,9.210340372,0,662,2250,875,54.7,2,1,0,TRUE,TRUE,FALSE,6.77536609093639,TRUE
"132",TRUE,"small_business",0.1249,284.32,11.35040654,6.38,667,7229.958333,1196,12,3,4,0,FALSE,TRUE,FALSE,7.08757370555797,TRUE
"133",TRUE,"small_business",0.1438,194.15,13.08154138,2.4,697,2759.958333,26628,60.4,3,1,0,FALSE,TRUE,FALSE,10.1897561264694,TRUE
"134",TRUE,"all_other",0.1028,138.51,10.34174248,24.81,767,5789.958333,6752,24.6,2,0,0,FALSE,FALSE,FALSE,8.81774212957484,TRUE
"135",TRUE,"debt_consolidation",0.1249,70.25,9.433483923,14.4,662,1469,458,91.6,1,0,0,TRUE,FALSE,FALSE,6.12905021006055,TRUE
"136",TRUE,"credit_card",0.0838,252.1,11.56171563,9.71,752,3508.958333,16786,44.7,0,0,0,FALSE,FALSE,FALSE,9.72836005632241,TRUE
"137",TRUE,"all_other",0.0901,263.19,11.69524702,12.16,742,9719.958333,7336,29.9,0,0,0,FALSE,FALSE,FALSE,8.900685318714,TRUE
"138",TRUE,"all_other",0.0933,104.65,11.03488966,3.83,702,3690,7089,41.9,1,0,0,FALSE,FALSE,FALSE,8.86644061952617,TRUE
"139",TRUE,"debt_consolidation",0.0807,172.53,10.89673933,6.29,742,5100,18388,68.9,0,0,0,FALSE,FALSE,FALSE,9.81950793874085,TRUE
"140",TRUE,"credit_card",0.0996,38.7,10.37349118,1.13,677,1920,613,76.6,2,0,0,FALSE,FALSE,FALSE,6.41999492814714,TRUE
"141",TRUE,"educational",0.1249,100.35,10.2791805,12.77,662,1110,566,51.5,3,1,0,TRUE,TRUE,FALSE,6.34035930372775,TRUE
"142",TRUE,"debt_consolidation",0.128,335.98,10.50232405,18.92,682,2219,9166,50.4,1,0,0,FALSE,FALSE,FALSE,9.12336535796178,TRUE
"143",TRUE,"all_other",0.1091,163.49,10.57131693,11.78,707,4889,5406,33.4,0,0,1,TRUE,FALSE,TRUE,8.595449689382,TRUE
"144",TRUE,"all_other",0.0996,32.25,10.46310334,5.83,687,2158.958333,1188,3,2,0,0,TRUE,FALSE,FALSE,7.08086789669078,TRUE
"145",TRUE,"educational",0.0996,96.75,9.798127037,15.4,707,11248.95833,12003,40.4,1,0,0,FALSE,FALSE,FALSE,9.39299520656026,TRUE
"146",TRUE,"all_other",0.1059,72.42,11.00209984,8.14,707,4800,20511,62,1,0,0,TRUE,FALSE,FALSE,9.9287653597204,TRUE
"147",TRUE,"small_business",0.0964,90.68,11.15625052,18,732,3691,55720,10,2,0,0,FALSE,FALSE,FALSE,10.9281123746099,TRUE
"148",TRUE,"all_other",0.0807,259.58,10.79957558,9.89,772,9870,7744,17.1,0,0,0,FALSE,FALSE,FALSE,8.95480275285097,TRUE
"149",TRUE,"all_other",0.0964,169.32,11.15625052,17.57,737,5429.958333,51761,38,1,0,0,FALSE,FALSE,FALSE,10.8544115683046,TRUE
"150",TRUE,"credit_card",0.1154,205.4,10.71441777,17.76,717,1500,579,23.2,0,0,0,FALSE,FALSE,FALSE,6.36302810354046,TRUE
"151",TRUE,"debt_consolidation",0.1312,162.01,11.35040654,16.87,707,9059.958333,34776,54.3,0,0,0,TRUE,FALSE,FALSE,10.4567115277187,TRUE
"152",TRUE,"debt_consolidation",0.1028,226.8,10.92233487,10.05,692,1890,8047,33.8,0,0,0,FALSE,FALSE,FALSE,8.99317889233952,TRUE
"153",TRUE,"all_other",0.1059,162.73,9.61580548,24.4,737,3209.958333,0,0,3,0,0,FALSE,FALSE,FALSE,0,FALSE
"154",TRUE,"debt_consolidation",0.1154,158.38,10.1266311,18.19,672,2586,409,81.8,0,1,0,FALSE,TRUE,FALSE,6.01615715969835,TRUE
"155",TRUE,"small_business",0.0901,795.11,10.95080655,8.93,822,9696.958333,185,0.5,0,0,0,FALSE,FALSE,FALSE,5.2257466737132,TRUE
"156",TRUE,"debt_consolidation",0.0996,158.83,11.33857208,4.84,727,6330,48251,50.1,2,0,0,FALSE,FALSE,FALSE,10.7841925566853,TRUE
"157",TRUE,"all_other",0.1028,97.2,10.54534144,19.93,687,2580,772,96.5,0,0,0,FALSE,FALSE,FALSE,6.65027904858742,TRUE
"158",TRUE,"debt_consolidation",0.1154,263.97,10.81977828,8.04,672,3089,1019,4.5,1,1,0,FALSE,TRUE,FALSE,6.92755790627832,TRUE
"159",TRUE,"small_business",0.1091,404.62,10.75177778,16.39,692,5640,8332,39.9,2,0,0,FALSE,FALSE,FALSE,9.02797881438221,TRUE
"160",TRUE,"all_other",0.0775,307.53,11.15625052,9.09,797,6089.958333,1790,4.5,1,0,0,FALSE,FALSE,FALSE,7.49052940206071,TRUE
"161",TRUE,"debt_consolidation",0.128,839.95,11.22524339,24.85,722,6330,62739,74.7,3,0,0,TRUE,FALSE,FALSE,11.0467544817447,TRUE
"162",TRUE,"all_other",0.1059,269.31,11.59910316,24.01,767,4665.958333,29901,71.2,2,0,0,TRUE,FALSE,FALSE,10.3056806467739,TRUE
"163",TRUE,"debt_consolidation",0.1186,265.18,10.858999,11.31,667,1560,5867,74.3,1,0,0,FALSE,FALSE,FALSE,8.67726913926287,TRUE
"164",TRUE,"home_improvement",0.0964,802.47,11.26446411,0.8,732,2129.958333,10605,22.1,1,0,0,FALSE,FALSE,FALSE,9.26917515769708,TRUE
"165",TRUE,"debt_consolidation",0.1091,505.16,11.69524702,16.97,697,9659,57196,44.5,3,0,0,TRUE,FALSE,FALSE,10.95425672844,TRUE
"166",TRUE,"home_improvement",0.0901,318.05,12.52452638,2.97,712,4919,481,80.2,2,0,0,TRUE,FALSE,FALSE,6.1779441140506,TRUE
"167",TRUE,"educational",0.0838,315.12,10.30895266,4.2,737,1560,2282,19,1,0,0,FALSE,FALSE,FALSE,7.7332456465298,TRUE
"168",TRUE,"all_other",0.1091,130.79,9.574983486,8.92,672,1140,3614,61.3,1,0,0,FALSE,FALSE,FALSE,8.19284713459287,TRUE
"169",TRUE,"debt_consolidation",0.1059,227.82,11.05879518,8.5,682,6839.958333,14930,79,1,0,1,FALSE,FALSE,TRUE,9.61119486752666,TRUE
"170",TRUE,"credit_card",0.0996,643.36,11.66134547,13.07,727,10529.95833,33989,82.9,0,0,0,FALSE,FALSE,FALSE,10.4338216426902,TRUE
"171",TRUE,"all_other",0.147,51.78,10.1266311,3.84,632,1530,1238,61.9,1,1,0,FALSE,TRUE,FALSE,7.12205988162914,TRUE
"172",TRUE,"educational",0.0901,572.48,10.62132735,15.37,747,7500,4746,18.5,2,0,0,FALSE,FALSE,FALSE,8.46526811855132,TRUE
