credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid,has.delinq.2yrs,has.pub.rec,log.revol.bal,has.revol.bal
TRUE,credit_card,0.087,63.32,11.15625052,6.07,712,2550,5967,19.8,1,0,0,FALSE,FALSE,FALSE,8.694167141883597,TRUE
TRUE,all_other,0.1091,130.79,9.798127037,18,707,2192,5533,79.6,1,0,0,FALSE,FALSE,FALSE,8.618666160346871,TRUE
TRUE,home_improvement,0.0775,93.67,11.73606902,2.14,762,8370,21050,1,0,0,0,FALSE,FALSE,FALSE,9.954703343920398,TRUE
TRUE,all_other,0.0775,93.67,10.81977828,5.35,762,8370,21050,0.7,0,0,0,FALSE,FALSE,FALSE,9.954703343920398,TRUE
TRUE,all_other,0.087,88.65,11.69524702,15,742,3026,8155,14.9,1,0,0,FALSE,FALSE,FALSE,9.006509131694346,TRUE
TRUE,all_other,0.0964,128.41,11.51292546,15,722,3026,8155,14.9,1,0,0,FALSE,FALSE,FALSE,9.006509131694346,TRUE
TRUE,home_improvement,0.087,94.98,11.03488966,12.23,737,2729.958333,3678,30.7,0,0,0,FALSE,FALSE,FALSE,8.210396255104774,TRUE
TRUE,debt_consolidation,0.1217,179.8,10.46310334,7.1,662,2944,2040,36.2,2,0,0,FALSE,FALSE,FALSE,7.621195162809845,TRUE
TRUE,credit_card,0.1533,444.05,11.00209984,19.52,667,2700.958333,33074,68.8,2,0,0,FALSE,FALSE,FALSE,10.406532988983157,TRUE
TRUE,all_other,0.0775,124.89,11.03165864,3.46,747,2519,1918,17.1,0,0,0,FALSE,FALSE,FALSE,7.5595594960077,TRUE
TRUE,credit_card,0.1533,644.3,11.40756495,5.24,662,1770,22379,62.2,0,0,0,FALSE,FALSE,FALSE,10.015922981865916,TRUE
TRUE,small_business,0.0964,642.02,11.47210347,2.86,737,2190,10296,42.5,0,0,0,TRUE,FALSE,FALSE,9.239607869656751,TRUE
TRUE,small_business,0.1154,104.76,9.61580548,12.24,672,1289.958333,2867,55.1,3,0,0,TRUE,FALSE,FALSE,7.961370201719511,TRUE
TRUE,debt_consolidation,0.1122,157.66,10.30895266,12.36,682,1770,12310,86.1,0,0,0,FALSE,FALSE,FALSE,9.418248450647615,TRUE
TRUE,debt_consolidation,0.087,383.87,11.91839057,4.8,767,NA,NA,39.1,0,0,0,FALSE,FALSE,FALSE,11.033630807483584,TRUE
TRUE,credit_card,0.1122,217.6,11.38509209,18,702,3725,16738,26.1,2,0,0,FALSE,FALSE,FALSE,9.72549660510262,TRUE
TRUE,all_other,0.0807,297.99,11.05089001,3.49,792,5939,40384,9.2,1,0,0,FALSE,FALSE,FALSE,10.606213707876396,TRUE
TRUE,debt_consolidation,0.0775,156.11,10.71441777,5,762,2131,1359,5.6,2,0,0,FALSE,FALSE,FALSE,7.215239978730097,TRUE
TRUE,debt_consolidation,0.1154,329.95,12.32385568,20,727,NA,NA,44.8,2,0,0,FALSE,FALSE,FALSE,11.585264731027953,TRUE
TRUE,all_other,0.0807,313.67,12.06104687,0.72,787,8010,3054,5.6,3,0,0,FALSE,FALSE,FALSE,8.024534871605695,TRUE
TRUE,all_other,0.0807,297.99,11.40756495,2.44,792,8717.958333,40384,9.6,0,0,0,FALSE,FALSE,FALSE,10.606213707876396,TRUE
TRUE,home_improvement,0.0933,239.65,11.44035477,9.66,792,4529,NA,0,3,0,0,FALSE,FALSE,FALSE,11.759793355371237,TRUE
TRUE,debt_consolidation,0.0712,61.87,11.6784399,0.43,772,5936,4709,18.5,0,0,0,FALSE,FALSE,FALSE,8.457443187010464,TRUE
TRUE,all_other,0.1186,94.47,10.71441777,2.8,667,5460,2850,75,0,NA,0,FALSE,TRUE,FALSE,7.955425088912672,TRUE
TRUE,small_business,0.1501,73.68,11.47210347,16.89,702,4080,51,0,0,0,0,TRUE,FALSE,FALSE,NA,TRUE
TRUE,home_improvement,0.0807,313.67,11.91839057,5.84,792,5364.958333,37152,3.7,0,0,0,FALSE,FALSE,FALSE,10.522799800586712,TRUE
TRUE,debt_consolidation,0.0933,543.2,11.22524339,9.55,762,5699.958333,3839,16.6,1,0,0,FALSE,FALSE,FALSE,8.253227645581772,TRUE
TRUE,home_improvement,0.0807,313.67,11.35040654,3.11,797,5363.958333,37152,3.7,0,0,0,FALSE,FALSE,FALSE,10.522799800586712,TRUE
TRUE,credit_card,0.1217,266.37,11.15625052,10.2,672,3598.958333,26283,39.5,0,NA,0,TRUE,TRUE,FALSE,10.176715668017758,TRUE
TRUE,debt_consolidation,0.1028,210.6,10.71441777,5.87,692,1741.958333,5607,42.2,0,0,0,FALSE,FALSE,FALSE,8.631949428714426,TRUE
TRUE,all_other,0.1249,234.15,10.04324949,5.01,662,1110,1061,81.9,3,0,0,FALSE,FALSE,FALSE,6.967909201801884,TRUE
TRUE,debt_consolidation,0.1028,323.99,11.69524702,14.4,722,4679.958333,NA,77.5,1,0,0,FALSE,FALSE,FALSE,10.946252332458506,TRUE
TRUE,credit_card,0.1059,235.96,10.95080655,7.22,712,5519,40598,77.3,1,0,0,FALSE,FALSE,FALSE,10.611498714744615,TRUE
TRUE,debt_consolidation,0.1438,352.22,11.1844214,17.83,687,1289.958333,3815,6.5,1,0,0,FALSE,FALSE,FALSE,8.246958032568177,TRUE
TRUE,all_other,0.0743,117.31,11.69524702,0,772,3929.958333,0,0,1,0,0,FALSE,FALSE,FALSE,NA,FALSE
TRUE,debt_consolidation,0.0712,64.96,11.60823564,0.22,812,NA,50,0.3,0,0,0,FALSE,FALSE,FALSE,NA,TRUE
TRUE,small_business,0.1565,699.69,11.42954386,1.53,667,3603.958333,4569,56.4,1,0,0,FALSE,FALSE,FALSE,8.42726848388825,TRUE
TRUE,educational,0.1059,195.27,9.852194258,8.15,692,3089.958333,8528,86.1,0,0,0,FALSE,FALSE,FALSE,9.05122740031911,TRUE
TRUE,credit_card,0.1122,295.59,10.3859137,22.15,747,2788.958333,14345,45.8,0,0,0,FALSE,FALSE,FALSE,9.571226436686379,TRUE
TRUE,small_business,0.1122,217.59,10.81977828,18.38,707,3359,113,2.4,1,0,0,FALSE,FALSE,FALSE,NA,TRUE
TRUE,debt_consolidation,0.1375,263.09,11.03811028,9.8,677,3089.958333,12231,81,3,0,0,TRUE,FALSE,FALSE,9.411810747608898,TRUE
TRUE,debt_consolidation,0.1467,248.43,10.95080655,20.76,667,3750,13552,69.1,0,NA,0,FALSE,TRUE,FALSE,9.514363204016016,TRUE
TRUE,credit_card,0.1028,194.4,11.37710574,10.6,692,2489.958333,16813,63.9,0,0,0,FALSE,FALSE,FALSE,9.729967151695242,TRUE
TRUE,debt_consolidation,0.1249,301.04,10.57131693,5.08,667,3690,26233,62.9,3,0,NA,TRUE,FALSE,TRUE,10.17481155837509,TRUE
TRUE,all_other,0.0743,163.92,11.35040654,2.64,782,9210,5760,16,0,0,0,FALSE,FALSE,FALSE,8.658866349732383,TRUE
TRUE,all_other,0.1028,150.66,10.727663,3.26,687,6509.958333,105,35,1,NA,0,TRUE,TRUE,FALSE,NA,TRUE
TRUE,debt_consolidation,0.1122,217.59,10.9525594,13.77,682,2160,11490,95.7,0,0,0,FALSE,FALSE,FALSE,9.349319399257634,TRUE
TRUE,home_improvement,0.1312,85.23,10.59663473,20.67,692,5250,17641,30.5,3,NA,0,FALSE,TRUE,FALSE,9.778037701818713,TRUE
TRUE,all_other,0.1122,328.43,10.30895266,20.4,742,3270,0,0,3,0,0,FALSE,FALSE,FALSE,NA,FALSE
TRUE,all_other,0.0807,165.47,10.91508846,12,797,8790,12430,19.2,1,0,0,FALSE,FALSE,FALSE,9.427948631791715,TRUE
TRUE,debt_consolidation,0.1091,140.6,10.49127422,9.87,707,1560,12323,44,0,0,0,FALSE,FALSE,FALSE,9.419303859716559,TRUE
TRUE,all_other,0.1028,98.01,11.40756495,9.13,697,3300,38624,97.8,0,0,0,FALSE,FALSE,FALSE,10.561655014200047,TRUE
TRUE,small_business,0.1217,166.48,NA,0,662,2250,875,54.7,2,NA,0,TRUE,TRUE,FALSE,6.775366090936392,TRUE
TRUE,small_business,0.1249,284.32,11.35040654,6.38,667,7229.958333,1196,12,3,NA,0,FALSE,TRUE,FALSE,7.087573705557973,TRUE
TRUE,small_business,0.1438,194.15,NA,2.4,697,2759.958333,26628,60.4,3,NA,0,FALSE,TRUE,FALSE,10.189756126469401,TRUE
TRUE,all_other,0.1028,138.51,10.34174248,24.81,767,5789.958333,6752,24.6,2,0,0,FALSE,FALSE,FALSE,8.817742129574842,TRUE
TRUE,debt_consolidation,0.1249,70.25,NA,14.4,662,1469,458,91.6,1,0,0,TRUE,FALSE,FALSE,6.129050210060545,TRUE
TRUE,credit_card,0.0838,252.1,11.56171563,9.71,752,3508.958333,16786,44.7,0,0,0,FALSE,FALSE,FALSE,9.728360056322414,TRUE
TRUE,all_other,0.0901,263.19,11.69524702,12.16,742,9719.958333,7336,29.9,0,0,0,FALSE,FALSE,FALSE,8.900685318713995,TRUE
TRUE,all_other,0.0933,104.65,11.03488966,3.83,702,3690,7089,41.9,1,0,0,FALSE,FALSE,FALSE,8.866440619526173,TRUE
TRUE,debt_consolidation,0.0807,172.53,10.89673933,6.29,742,5100,18388,68.9,0,0,0,FALSE,FALSE,FALSE,9.819507938740854,TRUE
TRUE,credit_card,0.0996,38.7,10.37349118,1.13,677,1920,613,76.6,2,0,0,FALSE,FALSE,FALSE,6.419994928147142,TRUE
TRUE,educational,0.1249,100.35,10.2791805,12.77,662,1110,566,51.5,3,NA,0,TRUE,TRUE,FALSE,6.340359303727752,TRUE
TRUE,debt_consolidation,0.128,335.98,10.50232405,18.92,682,2219,9166,50.4,1,0,0,FALSE,FALSE,FALSE,9.1233653579617755,TRUE
TRUE,all_other,0.1091,163.49,10.57131693,11.78,707,4889,5406,33.4,0,0,NA,TRUE,FALSE,TRUE,8.595449689382004,TRUE
TRUE,all_other,0.0996,32.25,10.46310334,5.83,687,2158.958333,1188,3,2,0,0,TRUE,FALSE,FALSE,7.080867896690782,TRUE
TRUE,educational,0.0996,96.75,9.798127037,15.4,707,NA,12003,40.4,1,0,0,FALSE,FALSE,FALSE,9.392995206560258,TRUE
TRUE,all_other,0.1059,72.42,11.00209984,8.14,707,4800,20511,62,1,0,0,TRUE,FALSE,FALSE,9.928765359720396,TRUE
TRUE,small_business,0.0964,90.68,11.15625052,18,732,3691,NA,10,2,0,0,FALSE,FALSE,FALSE,10.928112374609942,TRUE
TRUE,all_other,0.0807,259.58,10.79957558,9.89,772,9870,7744,17.1,0,0,0,FALSE,FALSE,FALSE,8.954802752850968,TRUE
TRUE,all_other,0.0964,169.32,11.15625052,17.57,737,5429.958333,NA,38,1,0,0,FALSE,FALSE,FALSE,10.854411568304634,TRUE
TRUE,credit_card,0.1154,205.4,10.71441777,17.76,717,1500,579,23.2,0,0,0,FALSE,FALSE,FALSE,6.363028103540465,TRUE
TRUE,debt_consolidation,0.1312,162.01,11.35040654,16.87,707,9059.958333,34776,54.3,0,0,0,TRUE,FALSE,FALSE,10.456711527718735,TRUE
TRUE,debt_consolidation,0.1028,226.8,10.92233487,10.05,692,1890,8047,33.8,0,0,0,FALSE,FALSE,FALSE,8.99317889233952,TRUE
TRUE,all_other,0.1059,162.73,9.61580548,24.4,737,3209.958333,0,0,3,0,0,FALSE,FALSE,FALSE,NA,FALSE
TRUE,debt_consolidation,0.1154,158.38,10.126631100000001,18.19,672,2586,409,81.8,0,NA,0,FALSE,TRUE,FALSE,6.016157159698354,TRUE
TRUE,small_business,0.0901,795.11,10.95080655,8.93,NA,9696.958333,185,0.5,0,0,0,FALSE,FALSE,FALSE,NA,TRUE
TRUE,debt_consolidation,0.0996,158.83,11.33857208,4.84,727,6330,NA,50.1,2,0,0,FALSE,FALSE,FALSE,10.784192556685275,TRUE
TRUE,all_other,0.1028,97.2,10.54534144,19.93,687,2580,772,96.5,0,0,0,FALSE,FALSE,FALSE,6.650279048587422,TRUE
TRUE,debt_consolidation,0.1154,263.97,10.81977828,8.04,672,3089,1019,4.5,1,NA,0,FALSE,TRUE,FALSE,6.927557906278317,TRUE
TRUE,small_business,0.1091,404.62,10.75177778,16.39,692,5640,8332,39.9,2,0,0,FALSE,FALSE,FALSE,9.027978814382207,TRUE
TRUE,all_other,0.0775,307.53,11.15625052,9.09,797,6089.958333,1790,4.5,1,0,0,FALSE,FALSE,FALSE,7.490529402060711,TRUE
TRUE,debt_consolidation,0.128,NA,11.22524339,24.85,722,6330,NA,74.7,3,0,0,TRUE,FALSE,FALSE,11.046754481744669,TRUE
TRUE,all_other,0.1059,269.31,11.59910316,24.01,767,4665.958333,29901,71.2,2,0,0,TRUE,FALSE,FALSE,10.305680646773872,TRUE
TRUE,debt_consolidation,0.1186,265.18,10.858999,11.31,667,1560,5867,74.3,1,0,0,FALSE,FALSE,FALSE,8.677269139262872,TRUE
TRUE,home_improvement,0.0964,802.47,11.26446411,0.8,732,2129.958333,10605,22.1,1,0,0,FALSE,FALSE,FALSE,9.269175157697076,TRUE
TRUE,debt_consolidation,0.1091,505.16,11.69524702,16.97,697,9659,NA,44.5,3,0,0,TRUE,FALSE,FALSE,10.95425672844002,TRUE
TRUE,home_improvement,0.0901,318.05,NA,2.97,712,4919,481,80.2,2,0,0,TRUE,FALSE,FALSE,6.1779441140506,TRUE
TRUE,educational,0.0838,315.12,10.30895266,4.2,737,1560,2282,19,1,0,0,FALSE,FALSE,FALSE,7.733245646529795,TRUE
TRUE,all_other,0.1091,130.79,9.574983486,8.92,672,1140,3614,61.3,1,0,0,FALSE,FALSE,FALSE,8.192847134592865,TRUE
TRUE,debt_consolidation,0.1059,227.82,11.05879518,8.5,682,6839.958333,14930,79,1,0,NA,FALSE,FALSE,TRUE,9.611194867526663,TRUE
TRUE,credit_card,0.0996,643.36,11.66134547,13.07,727,NA,33989,82.9,0,0,0,FALSE,FALSE,FALSE,10.433821642690162,TRUE
TRUE,all_other,0.147,51.78,10.126631100000001,3.84,632,1530,1238,61.9,1,NA,0,FALSE,TRUE,FALSE,7.122059881629142,TRUE
TRUE,educational,0.0901,572.48,10.62132735,15.37,747,7500,4746,18.5,2,0,0,FALSE,FALSE,FALSE,8.465268118551318,TRUE
TRUE,all_other,0.0775,149.87,9.952277717,6.34,752,3029,3470,25.5,0,0,0,FALSE,FALSE,FALSE,8.152198015861787,TRUE
TRUE,all_other,0.0996,96.75,11.03488966,11.98,682,1799,12640,83.2,0,0,0,FALSE,FALSE,FALSE,9.444700778495557,TRUE
TRUE,home_improvement,0.0712,92.8,11.44035477,0,812,8250,368,1.2,0,0,0,FALSE,FALSE,FALSE,5.910796644040527,TRUE
TRUE,credit_card,0.1091,192.09,11.09741002,19.82,677,4290,30597,89.5,1,NA,0,FALSE,TRUE,FALSE,10.328689926327325,TRUE
TRUE,all_other,0.1154,593.92,10.20359214,10.8,682,5050,8537,75.5,0,0,0,FALSE,FALSE,FALSE,9.052282067317908,TRUE
TRUE,debt_consolidation,0.1091,392.36,10.46310334,15.74,692,1500.041667,15649,54.5,2,0,0,FALSE,FALSE,FALSE,9.658226195968298,TRUE
TRUE,educational,0.0775,156.11,10.858999,9.55,767,NA,4067,7.3,0,0,0,FALSE,FALSE,FALSE,8.31090675716845,TRUE
TRUE,debt_consolidation,0.1028,155.52,10.46310334,7.51,687,2795,5836,68.7,0,0,NA,FALSE,FALSE,TRUE,8.671972245203792,TRUE
TRUE,credit_card,0.1028,485.99,11.38509209,11.95,702,5070,24615,94.7,0,0,0,FALSE,FALSE,FALSE,10.111151917001878,TRUE
